,Hospital Name,Beds,City,State,Estimated Ventilators,Statewide Ventilators per Bed
27,Downey Medical Center,352,Downey,CA,27.471075946368504,0.07804282939309234
28,Emory Hillandale Hospital,90,Lithonia,GA,6.80330829240104,0.07559231436001156
29,Encompass Health Rehabilitation Hospital of Miami,60,Miami,FL,4.142740345308517,0.06904567242180862
30,Encompass Health Rehabilitation Hospital of Ocala,60,Ocala,FL,4.142740345308517,0.06904567242180862
31,Encompass Health Rehabilitation Hospital of Round Rock,75,Round Rock,TX,5.339968466692945,0.07119957955590593
32,Encompass Health Rehabilitation Hospital of Sarasota,96,Sarasota,FL,6.628384552493627,0.06904567242180862
33,Erlanger Western Carolina Hospital,25,Murphy,NC,1.6787881071711197,0.06715152428684479
34,Evans United States Army Hospital,0,Fort Carson,CO,0.0,0.07619762977800033
35,Floyd Cherokee Medical Center,45,Centre,AL,2.3564232454892142,0.05236496101087142
36,"Genesis Medical Center, East Rusholme Street",329,Davenport,IA,20.51046698872786,0.062341844950540605
37,HCA Houston Healthcare Kingwood,521,Kingwood,TX,37.09498094862699,0.07119957955590593
38,HCA Houston Healthcare Medical Center,133,Houston,TX,9.469544080935488,0.07119957955590593
39,Hospital General Menonita de Aibonito,150,Aibonito,PR,0.0,0.0
40,INTEGRIS Miami Hospital,114,Miami,OK,6.696301000158756,0.058739482457532945
41,Izard County Medical Center,25,Calico Rock,AR,1.45651173492867,0.058260469397146804
42,LifeCare Hospitals of Pittsburgh at Main Campus,49,Pittsburgh,PA,3.4610263262770475,0.07063319033218464
43,Long Island Community Hospital,235,Patchogue,NY,16.549606151537883,0.07042385596399099
44,M Health Fairview Lakes Medical Center,55,Wyoming,MN,2.8025257602412665,0.050955013822568486
45,MarinHealth Medical Center,235,Greenbrae,CA,18.3400649073767,0.07804282939309234
46,Medical City North Hills,157,North Richland Hills,TX,11.178333990277231,0.07119957955590593
47,Mercy Health - Anderson Hospital,282,Cincinnati,OH,21.72598949805206,0.07704251595053921
48,Mercyhealth Hospital and Medical Center-Harvard,28,Harvard,IL,1.8988760747718403,0.06781700267042287
49,Munson Healthcare Manistee Hospital,45,Manistee,MI,2.9496415643409755,0.06554759031868834
50,MUSC Institute of Psychiatry,0,Charleston,SC,0.0,0.07041104021368155
51,Northwest Health Physicians' Specialty Hospital,20,Fayetteville,AR,1.1652093879429362,0.058260469397146804
52,Northwestern Medicine Kishwaukee Hospital,98,DeKalb,IL,6.646066261701441,0.06781700267042287
53,Palisades Medical Center,202,North Bergen,NJ,12.042416710099026,0.05961592430742092
54,Pappas Rehabilitation Hospital for Children,0,Canton,MA,0.0,0.06894525511703066
55,Providence Holy Family Hospital,184,Spokane,WA,11.384251036116046,0.061870929544108944
56,Providence Saint John's Health Center,266,Santa Monica,CA,20.759392618562565,0.07804282939309234
57,Providence Saint Joseph Medical Center,22,Polson,MT,0.8480117101732131,0.03854598682605514
58,Reading Hospital,724,West Reading,PA,51.138429800501676,0.07063319033218464
59,Rehabilitation Hospital of Bristol,25,Bristol,VA,1.661022014144835,0.0664408805657934
60,RMC Stringfellow Memorial Hospital,125,Anniston,AL,6.545620126358928,0.05236496101087142
61,Rocky Mountain Regional VA Medical Center,0,Aurora,CO,0.0,0.07619762977800033
62,Santa Fe Indian Hospital,4,Santa Fe,NM,0.3022295623451693,0.07555739058629232
63,Spectrum Health Zeeland Community Hospital,55,Zeeland,MI,3.605117467527859,0.06554759031868834
64,St. Joseph's Healthcare and Rehab Center,0,Cedar Grove,NJ,0.0,0.05961592430742092
65,Texas Health Presbyterian Hospital of Rockwall,53,Rockwall,TX,3.773577716463014,0.07119957955590593
66,The University of Texas Medical Branch Health Angleton Danbury Campus,62,Angleton,TX,4.414373932466168,0.07119957955590593
67,Unity Health - Harris Medical Center,121,Newport,AR,7.049516797054763,0.058260469397146804
68,University of Kansas Health System Saint Francis Campus,264,Topeka,KS,14.313924050632911,0.05421940928270042
69,University of Missouri Women's and Children's Hospital,98,Columbia,MO,6.834886429819452,0.06974373907979033
70,UPMC Cole,69,Coudersport,PA,4.87369013292074,0.07063319033218464
71,UPMC Hamot,421,Erie,PA,29.736573129849734,0.07063319033218464
72,UPMC Lititz,55,Lititz,PA,3.8848254682701553,0.07063319033218464
73,UPMC Magee-Womens Hospital,335,Pittsburgh,PA,23.662118761281853,0.07063319033218464
74,UT Health East Texas Rehabilitation Hospital,49,Tyler,TX,3.4887793982393904,0.07119957955590593
75,VA Pittsburgh Healthcare System - H.J. Heinz Campus,0,Pittsburgh,PA,0.0,0.07063319033218464
76,VCU Community Memorial Hospital,206,South Hill,VA,13.68682139655344,0.0664408805657934
77,West Tennessee Healthcare Rehabilitation Hospital Jackson,48,Jackson,TN,3.3899441340782124,0.07062383612662942
78,Woodland Hills Medical Center,252,Woodland Hills,CA,19.666793007059272,0.07804282939309234
79,Zucker Hillside Hospital,0,Glen Oaks,NY,0.0,0.07042385596399099
80,375th Medical Group - Scott Air Force Base Medical Center,0,Scott Air Force Base,IL,0.0,0.06781700267042287
81,60th Medical Group - David Grant USAF Medical Center,0,Travis Air Force Base,CA,0.0,0.07804282939309234
82,633d Medical Group -Langley Air Force Base,0,Hampton,VA,0.0,0.0664408805657934
83,81st Medical Group - Keesler Medical Center,0,Keesler Air Force Base,MS,0.0,0.06544123904348566
84,88th Medical Group - Wright-Patterson Air Force Base Medical Center,0,Wright-Patterson AirForce Base,OH,0.0,0.07704251595053921
85,96th Medical Group - United States Air Force Eglin Regional Hospital,0,Eglin Air Force Base,FL,0.0,0.06904567242180862
86,A.O. Fox Hospital,191,Oneonta,NY,13.45095648912228,0.07042385596399099
87,Abbeville Area Medical Center,25,Abbeville,SC,1.7602760053420388,0.07041104021368155
88,Abbeville General Hospital,60,Abbeville,LA,3.3786940184827867,0.05631156697471311
89,Abbott Northwestern Hospital,686,Minneapolis,MN,34.95513948228198,0.050955013822568486
90,Abilene Regional Medical Center,196,Abilene,TX,13.955117592957562,0.07119957955590593
91,Abington - Lansdale Hospital,140,Lansdale,PA,9.88864664650585,0.07063319033218464
92,Abington Hospital - Jefferson Health,638,Abington,PA,45.0639754319338,0.07063319033218464
93,Abraham Lincoln Memorial Hospital,25,Lincoln,IL,1.6954250667605717,0.06781700267042287
94,Abrazo Arizona Heart Hospital,0,Phoenix,AZ,0.0,0.0800122249388753
95,Abrazo Arrowhead Hospital,262,Glendale,AZ,20.96320293398533,0.0800122249388753
96,Abrazo Central Campus,160,Phoenix,AZ,12.801955990220048,0.0800122249388753
97,Abrazo Mesa Hospital,0,Mesa,AZ,0.0,0.0800122249388753
98,Abrazo Scottsdale Campus,127,Phoenix,AZ,10.161552567237164,0.0800122249388753
99,Abrazo West Campus,179,Goodyear,AZ,14.32218826405868,0.0800122249388753
100,Abrom Kaplan Memorial Hospital,35,Kaplan,LA,1.9709048441149588,0.05631156697471311
101,Acadia Extended Care Hospital,0,Crowley,LA,0.0,0.05631156697471311
102,Acadia General Hospital,140,Crowley,LA,7.883619376459835,0.05631156697471311
103,Acadia-Saint Landry Hospital,25,Church Point,LA,1.4077891743678277,0.05631156697471311
104,Acadian Medical Center,52,Eunice,LA,2.9282014826850817,0.05631156697471311
105,Accel Rehabilitation Hospital of Plano,149,Plano,TX,10.608737353829984,0.07119957955590593
106,Access Hospital Dayton,52,Dayton,OH,4.0062108294280385,0.07704251595053921
107,Acoma-Canoncito-Laguna Hospital,6,Acoma,NM,0.45334434351775393,0.07555739058629232
108,Acuity Specialty Hospital of Morgantown,0,Morgantown,WV,0.0,0.07327471356248334
109,Acuity Specialty Hospital of New Jersey - Atlantic City,30,Atlantic City,NJ,1.7884777292226277,0.05961592430742092
110,Acuity Specialty Hospital of Ohio Valley,72,Belmont,OH,5.547061148438823,0.07704251595053921
111,Acuity Specialty Hospital of Ohio Valley at Weirton,0,Weirton,WV,0.0,0.07327471356248334
112,Acuity Specialty Hospital of Ohio Valley at Wheeling,0,Wheeling,WV,0.0,0.07327471356248334
113,Acuity Specialty Hospital of Southern New Jersey,69,Willingboro,NJ,4.113498777212044,0.05961592430742092
114,Adair County Memorial Hospital,25,Greenfield,IA,1.5585461237635152,0.062341844950540605
115,Adams County Regional Medical Center,25,Seaman,OH,1.9260628987634802,0.07704251595053921
116,Adams Memorial Hospital,25,Decatur,IN,1.9043676257503621,0.07617470503001449
117,AdCare Hospital,114,Worcester,MA,7.859759083341495,0.06894525511703066
118,AdCare Rhode Island,0,North Kingstown,RI,0.0,0.062340966921119595
119,Addison Gilbert Hospital,79,Gloucester,MA,5.446675154245422,0.06894525511703066
120,Adena Greenfield Medical Center,25,Greenfield,OH,1.9260628987634802,0.07704251595053921
121,Adena Pike Medical Center,25,Waverly,OH,1.9260628987634802,0.07704251595053921
122,Adena Regional Medical Center,189,Chillicothe,OH,14.56103551465191,0.07704251595053921
123,Adirondack Medical Center at Saranac Lake,155,Saranac Lake,NY,10.915697674418604,0.07042385596399099
124,Administrative Medical Services,68,San Juan,PR,0.0,0.0
125,Advanced Care Hospital of Montana,40,Billings,MT,1.5418394730422056,0.03854598682605514
126,Advanced Care Hospital of Southern New Mexico,20,Las Cruces,NM,1.5111478117258463,0.07555739058629232
127,Advanced Care Hospital of White County,27,Searcy,AR,1.5730326737229636,0.058260469397146804
128,Advanced Diagnostics Hospitals and Clinics,4,Houston,TX,0.2847983182236237,0.07119957955590593
129,Advanced Specialty Hospital of Toledo,40,Toledo,OH,3.0817006380215686,0.07704251595053921
130,Advanced Surgical Hospital,14,Washington,PA,0.988864664650585,0.07063319033218464
131,AdventHealth Altamonte Springs,0,Altamonte Springs,FL,0.0,0.06904567242180862
132,AdventHealth Apopka,0,Apopka,FL,0.0,0.06904567242180862
133,AdventHealth Carrollwood,103,Tampa,FL,7.111704259446288,0.06904567242180862
134,AdventHealth Celebration,0,Celebration,FL,0.0,0.06904567242180862
135,AdventHealth Central Texas,208,Killeen,TX,14.809512547628433,0.07119957955590593
136,AdventHealth Connerton,50,Land O Lakes,FL,3.452283621090431,0.06904567242180862
137,AdventHealth Dade City,120,Dade City,FL,8.285480690617034,0.06904567242180862
138,AdventHealth Daytona Beach,0,Daytona Beach,FL,0.0,0.06904567242180862
139,AdventHealth DeLand,164,DeLand,FL,11.323490277176614,0.06904567242180862
140,AdventHealth Durand,25,Durand,WI,1.4232999472851873,0.05693199789140749
141,AdventHealth East Orlando,0,Orlando,FL,0.0,0.06904567242180862
142,AdventHealth Fish Memorial,179,Orange City,FL,12.359175363503743,0.06904567242180862
143,AdventHealth Gordon,69,Calhoun,GA,5.2158696908407975,0.07559231436001156
144,AdventHealth Heart of Florida,193,Davenport,FL,13.325814777409063,0.06904567242180862
145,AdventHealth Hendersonville,98,Hendersonville,NC,6.58084938011079,0.06715152428684479
146,AdventHealth Kissimmee,0,Kissimmee,FL,0.0,0.06904567242180862
147,AdventHealth Lake Placid,0,Lake Placid,FL,0.0,0.06904567242180862
148,AdventHealth Lake Wales,131,Lake Wales,FL,9.044983087256929,0.06904567242180862
149,AdventHealth Manchester,49,Manchester,KY,2.802784642275933,0.05719968657705985
150,AdventHealth Murray,29,Chatsworth,GA,2.192177116440335,0.07559231436001156
151,AdventHealth New Smyrna Beach,112,New Smyrna Beach,FL,7.733115311242566,0.06904567242180862
152,AdventHealth North Pinellas,168,Tarpon Springs,FL,11.599672966863848,0.06904567242180862
153,AdventHealth Ocala,413,Ocala,FL,28.51586271020696,0.06904567242180862
154,AdventHealth Orlando,2826,Orlando,FL,195.12307026403116,0.06904567242180862
155,AdventHealth Ottawa,47,Ottawa,KS,2.54831223628692,0.05421940928270042
156,AdventHealth Palm Coast,99,Palm Coast,FL,6.835521569759053,0.06904567242180862
157,AdventHealth Pepin Heart Institute,0,Tampa,FL,0.0,0.06904567242180862
158,AdventHealth Rollins Brook,25,Lampasas,TX,1.7799894888976482,0.07119957955590593
159,AdventHealth Sebring,197,Sebring,FL,13.601997467096298,0.06904567242180862
160,AdventHealth Shawnee Mission,365,Shawnee Mission,KS,19.790084388185655,0.05421940928270042
161,AdventHealth Tampa,536,Tampa,FL,37.00848041808942,0.06904567242180862
162,AdventHealth Waterman,269,Tavares,FL,18.573285881466518,0.06904567242180862
163,AdventHealth Wauchula,25,Wauchula,FL,1.7261418105452155,0.06904567242180862
164,AdventHealth Wesley Chapel,145,Wesley Chapel,FL,10.01162250116225,0.06904567242180862
165,AdventHealth Winter Park,0,Winter Park,FL,0.0,0.06904567242180862
166,AdventHealth Zephyrhills,149,Zephyrhills,FL,10.287805190849484,0.06904567242180862
167,Adventist Health and Rideout,209,Marysville,CA,16.3109513431563,0.07804282939309234
168,Adventist Health Bakersfield,254,Bakersfield,CA,19.822878665845455,0.07804282939309234
169,Adventist Health Castle,160,Kailua,HI,10.77998322616718,0.06737489516354488
170,Adventist Health Clear Lake,25,Clearlake,CA,1.9510707348273086,0.07804282939309234
171,Adventist Health Glendale,451,Glendale,CA,35.19731605628465,0.07804282939309234
172,Adventist Health Hanford,230,Hanford,CA,17.949850760411238,0.07804282939309234
173,Adventist Health Howard Memorial,25,Willits,CA,1.9510707348273086,0.07804282939309234
174,Adventist Health Lodi Memorial,190,Lodi,CA,14.828137584687546,0.07804282939309234
175,Adventist Health Reedley,49,Reedley,CA,3.824098640261525,0.07804282939309234
176,Adventist Health Saint Helena,130,Saint Helena,CA,10.145567821102004,0.07804282939309234
177,Adventist Health Selma,0,Selma,CA,0.0,0.07804282939309234
178,Adventist Health Sonora,152,Sonora,CA,11.862510067750037,0.07804282939309234
179,Adventist Health Tehachapi Valley,20,Tehachapi,CA,1.560856587861847,0.07804282939309234
180,Adventist Health Tillamook Regional Medical Center,25,Tillamook,OR,1.682274247491639,0.06729096989966556
181,Adventist Health Tulare,108,Tulare,CA,8.428625574453973,0.07804282939309234
182,Adventist Health Vallejo,0,Vallejo,CA,0.0,0.07804282939309234
183,Adventist Health White Memorial,353,Los Angeles,CA,27.5491187757616,0.07804282939309234
184,Adventist HealthCare Rehabilitation,89,Rockville,MD,6.411444553632172,0.07203870284979969
185,Adventist HealthCare Shady Grove Medical Center,338,Rockville,MD,24.349081563232293,0.07203870284979969
186,Adventist HealthCare Shady Grove Medical Center - Mental Health,117,Rockville,MD,8.428528233426563,0.07203870284979969
187,Adventist HealthCare Takoma Park,198,Takoma Park,MD,14.263663164260338,0.07203870284979969
188,Adventist HealthCare White Oak Medical Center,0,Silver Spring,MD,0.0,0.07203870284979969
189,Adventist Medical Center,211,Portland,OR,14.198394648829433,0.06729096989966556
190,Adventist Rehabilitation Hospital of Maryland Takoma Park,0,Takoma Park,MD,0.0,0.07203870284979969
191,Advocate BroMenn Regional Medical Center,221,Normal,IL,14.987557590163455,0.06781700267042287
192,Advocate Christ Medical Center,777,Oak Lawn,IL,52.69381107491857,0.06781700267042287
193,Advocate Condell Medical Center,273,Libertyville,IL,18.514041729025443,0.06781700267042287
194,Advocate Eureka Hospital,25,Eureka,IL,1.6954250667605717,0.06781700267042287
195,Advocate Good Samaritan Hospital,284,Downers Grove,IL,19.260028758400097,0.06781700267042287
196,Advocate Good Shepherd Hospital,176,Barrington,IL,11.935792469994425,0.06781700267042287
197,Advocate Illinois Masonic Medical Center,311,Chicago,IL,21.091087830501515,0.06781700267042287
198,Advocate Lutheran General Hospital,629,Park Ridge,IL,42.65689467969599,0.06781700267042287
199,Advocate Sherman Hospital,255,Elgin,IL,17.29333568095783,0.06781700267042287
200,Advocate South Suburban Hospital,233,Hazel Crest,IL,15.801361622208528,0.06781700267042287
201,Advocate Trinity Hospital,201,Chicago,IL,13.631217536754997,0.06781700267042287
202,AHMC Anaheim Regional Medical Center,223,Anaheim,CA,17.403550954659593,0.07804282939309234
203,AHN Grove City,77,Grove City,PA,5.438755655578217,0.07063319033218464
204,Aiken Regional Medical Centers,266,Aiken,SC,18.729336696839294,0.07041104021368155
205,Akron Children's Hospital,402,Akron,OH,30.971091412116763,0.07704251595053921
206,Akron General Lodi Hospital,20,Lodi,OH,1.5408503190107843,0.07704251595053921
207,Alamance Regional Medical Center,212,Burlington,NC,14.236123148811096,0.06715152428684479
208,Alameda Hospital,215,Alameda,CA,16.779208319514854,0.07804282939309234
209,Alaska Native Medical Center,174,Anchorage,AK,10.177727784026997,0.05849268841394826
210,Alaska Psychiatric Institute,80,Anchorage,AK,4.679415073115861,0.05849268841394826
211,Alaska Regional Hospital,174,Anchorage,AK,10.177727784026997,0.05849268841394826
212,Albany Medical Center,793,Albany,NY,55.84611777944485,0.07042385596399099
213,Albany Stratton VA Medical Center,0,Albany,NY,0.0,0.07042385596399099
214,Albert J. Solnit Psychiatric Center - South Campus,0,Middletown,CT,0.0,0.06721375537319266
215,Aleda E. Lutz VA Medical Center,0,Saginaw,MI,0.0,0.06554759031868834
216,Alexandria VA Health Care System,0,Pineville,LA,0.0,0.05631156697471311
217,Alfred I. duPont Hospital for Children & Nemours Children's Clinic,208,Wilmington,DE,14.227086183310533,0.06839945280437756
218,Alhambra Hospital Medical Center,144,Alhambra,CA,11.238167432605298,0.07804282939309234
219,Alice Peck Day Memorial Hospital,24,Lebanon,NH,1.5974276527331188,0.06655948553054662
220,Allegan General Hospital,25,Allegan,MI,1.6386897579672086,0.06554759031868834
221,Alleghany Memorial Hospital,25,Sparta,NC,1.6787881071711197,0.06715152428684479
222,Allegheny General Hospital,552,Pittsburgh,PA,38.98952106336592,0.07063319033218464
223,Allegheny Valley Hospital,200,Natrona Heights,PA,14.126638066436929,0.07063319033218464
224,Allegiance Behavioral Health Center Of Plainview,20,Plainview,TX,1.4239915911181187,0.07119957955590593
225,Allegiance Behavioral Health Center of Ruston,28,Ruston,LA,1.576723875291967,0.05631156697471311
226,Allegiance Specialty Hospital of Greenville,39,Greenville,MS,2.5522083226959404,0.06544123904348566
227,Allen County Regional Hospital,25,Iola,KS,1.3554852320675106,0.05421940928270042
228,Allen Parish Community Healthcare,49,Kinder,LA,2.7592667817609424,0.05631156697471311
229,Allendale County Hospital,69,Fairfax,SC,4.8583617747440275,0.07041104021368155
230,Alliance Community Hospital,145,Alliance,OH,11.171164812828184,0.07704251595053921
231,Alliance Health Center,154,Meridian,MS,10.077950812696791,0.06544123904348566
232,Alliance Hospital,40,Holly Springs,MS,2.617649561739426,0.06544123904348566
233,AllianceHealth Clinton,56,Clinton,OK,3.2894110176218447,0.058739482457532945
234,AllianceHealth Durant,140,Durant,OK,8.223527544054612,0.058739482457532945
235,AllianceHealth Madill,21,Madill,OK,1.2335291316081918,0.058739482457532945
236,AllianceHealth Midwest,255,Midwest City,OK,14.978568026670901,0.058739482457532945
237,AllianceHealth Ponca City,48,Ponca City,OK,2.8194951579615815,0.058739482457532945
238,AllianceHealth Seminole,32,Seminole,OK,1.8796634386410542,0.058739482457532945
239,AllianceHealth Woodward,40,Woodward,OK,2.3495792983013177,0.058739482457532945
240,Allied Rehab Hospital,137,Scranton,PA,9.676747075509295,0.07063319033218464
241,Alomere Health,99,Alexandria,MN,5.04454636843428,0.050955013822568486
242,Alta Bates Summit Medical Center,354,Oakland,CA,27.62716160515469,0.07804282939309234
243,Alta Bates Summit Medical Center Herrick Campus,0,Berkeley,CA,0.0,0.07804282939309234
244,Alta Bates Summit Medical Center Alta Bates Campus,401,Berkeley,CA,31.29517458663003,0.07804282939309234
245,Alta View Hospital,58,Sandy,UT,4.633735705209657,0.07989199491740788
246,Alta Vista Regional Hospital,46,Las Vegas,NM,3.475639966969447,0.07555739058629232
247,Alton Memorial Hospital,152,Alton,IL,10.308184405904276,0.06781700267042287
248,Alton Mental Health Center,24,Alton,IL,1.627608064090149,0.06781700267042287
249,Altru Hospital,294,Grand Forks,ND,14.145950280673617,0.048115477145148355
250,Altru Specialty Center,0,Grand Forks,ND,0.0,0.048115477145148355
251,Altus Baytown Hospital,14,Baytown,TX,0.996794113782683,0.07119957955590593
252,Altus Hospital Houston,0,Houston,TX,0.0,0.07119957955590593
253,Alvarado Hospital Medical Center,304,San Diego,CA,23.725020135500074,0.07804282939309234
254,Alvarado Parkway Institute,66,La Mesa,CA,5.150826739944095,0.07804282939309234
255,American Family Children's Hospital,0,Madison,WI,0.0,0.05693199789140749
256,American Fork Hospital,91,American Fork,UT,7.270171537484117,0.07989199491740788
257,Amery Hospital & Clinic,35,Amery,WI,1.992619926199262,0.05693199789140749
258,AMG Physical Rehabilitation Hospital,24,Covington,LA,1.3514776073931145,0.05631156697471311
259,AMG Specialty Hospital - Albuquerque,25,Albuquerque,NM,1.888934764657308,0.07555739058629232
260,AMG Specialty Hospital - Houma,40,Houma,LA,2.2524626789885245,0.05631156697471311
261,AMG Specialty Hospital - Lafayette,18,Lafayette,LA,1.0136082055448359,0.05631156697471311
262,AMG Specialty Hospital - Las Vegas,24,Las Vegas,NV,2.158623984710941,0.08994266602962254
263,AMG Specialty Hospital - Mercy,18,Okahoma City,OK,1.057310684235593,0.058739482457532945
264,AMG Specialty Hospital - Muncie,32,Muncie,IN,2.4375905609604636,0.07617470503001449
265,AMG Specialty Hospital - Zachary,16,Zachary,LA,0.9009850715954097,0.05631156697471311
266,AMG Specialty Hospital Central Indiana - Hancock,0,Greenfield,IN,0.0,0.07617470503001449
267,AMITA Health Adventist GlenOaks Hospital,138,Glendale Heights,IL,9.358746368518355,0.06781700267042287
268,AMITA Health Adventist Medical Center Bolingbrook,134,Bolingbrook,IL,9.087478357836664,0.06781700267042287
269,AMITA Health Adventist Medical Center Hinsdale,261,Hinsdale,IL,17.70023769698037,0.06781700267042287
270,AMITA Health Adventist Medical Center La Grange,176,La Grange,IL,11.935792469994425,0.06781700267042287
271,AMITA Health Alexian Brothers Behavioral Health Hospital Hoffman Estates,141,Hoffman Estates,IL,9.562197376529625,0.06781700267042287
272,AMITA Health Alexian Brothers Medical Center Elk Grove Village,354,Elk Grove Village,IL,24.007218945329697,0.06781700267042287
273,AMITA Health Alexian Brothers Rehabilitation Hospital Elk Grove Village,0,Elk Grove Village,IL,0.0,0.06781700267042287
274,AMITA Health Alexian Brothers Women and Children's Hospital Hoffman Estates,0,Hoffman Estates,IL,0.0,0.06781700267042287
275,AMITA Health Holy Family Medical Center Des Plaines,128,Des Plaines,IL,8.680576341814128,0.06781700267042287
276,AMITA Health Mercy Medical Center Aurora,256,Aurora,IL,17.361152683628255,0.06781700267042287
277,AMITA Health Resurrection Medical Center Chicago,274,Chicago,IL,18.581858731695867,0.06781700267042287
278,AMITA Health Saint Francis Hospital Evanston,181,Evanston,IL,12.27487748334654,0.06781700267042287
279,AMITA Health Saint Joseph Hospital Chicago,313,Chicago,IL,21.22672183584236,0.06781700267042287
280,AMITA Health Saint Joseph Hospital Elgin,184,Elgin,IL,12.478328491357809,0.06781700267042287
281,AMITA Health Saint Joseph Medical Center Joliet,424,Joliet,IL,28.754409132259298,0.06781700267042287
282,AMITA Health Saints Mary and Elizabeth Medical Center Saint Elizabeth Campus,219,Chicago,IL,14.85192358482261,0.06781700267042287
283,AMITA Health Saints Mary and Elizabeth Medical Center Saint Mary Campus,429,Chicago,IL,29.093494145611412,0.06781700267042287
284,AMITA Health St. Alexius Medical Center Hoffman Estates,318,Hoffman Estates,IL,21.565806849194473,0.06781700267042287
285,AMITA Health St. Marys Hospital Kankakee,169,Kankakee,IL,11.461073451301464,0.06781700267042287
286,Anaheim Global Medical Center,183,Anaheim,CA,14.281837778935898,0.07804282939309234
287,Anaheim Medical Center,484,Anaheim,CA,37.772729426256696,0.07804282939309234
288,Anchor Hospital,172,Atlanta,GA,13.001878069921988,0.07559231436001156
289,Ancora Psychiatric Hospital,515,Ancora,NJ,30.702201018321777,0.05961592430742092
290,Andalusia Health,83,Andalusia,AL,4.346291763902328,0.05236496101087142
291,Anderson County Hospital,12,Garnett,KS,0.6506329113924051,0.05421940928270042
292,Anderson Hospital,154,Maryville,IL,10.443818411245122,0.06781700267042287
293,Anderson Regional Medical Center North,260,Meridian,MS,17.01472215130627,0.06544123904348566
294,Anderson Regional Medical Center South,69,Meridian,MS,4.51544549400051,0.06544123904348566
295,Androscoggin Valley Hospital,25,Berlin,NH,1.6639871382636655,0.06655948553054662
296,Angel Medical Center,25,Franklin,NC,1.6787881071711197,0.06715152428684479
297,Animas Surgical Hospital,12,Durango,CO,0.9143715573360041,0.07619762977800033
298,AnMed Health Cannon,42,Pickens,SC,2.957263688974625,0.07041104021368155
299,AnMed Health Medical Center,396,Anderson,SC,27.882771924617895,0.07041104021368155
300,AnMed Health North Campus,0,Anderson,SC,0.0,0.07041104021368155
301,AnMed Health Rehabilitation Hospital,60,Anderson,SC,4.224662412820893,0.07041104021368155
302,Ann & Robert H. Lurie Children's Hospital of Chicago,312,Chicago,IL,21.158904833171935,0.06781700267042287
303,Ann Klein Forensic Center,200,West Trenton,NJ,11.923184861484184,0.05961592430742092
304,Anna Jaques Hospital,140,Newburyport,MA,9.652335716384293,0.06894525511703066
305,Anne Arundel Medical Center,379,Annapolis,MD,27.30266838007408,0.07203870284979969
306,Annie Jeffrey Memorial County Health Center,16,Osceola,NE,1.0433809123985447,0.06521130702490904
307,Anoka-Metro Regional Treatment Center,110,Anoka,MN,5.605051520482533,0.050955013822568486
308,Anson General Hospital,7,Anson,TX,0.4983970568913415,0.07119957955590593
